descricao_pedido,quantidade
PEDIDO DE RECONSIDERAÇÃO NO AGRAVO REGIMENTAL NOS EMBARGOS DE DIVERGÊNCIA EM AGRAVO EM RECURSO ESPECIAL,1
PEDIDO DE RECONSIDERAÇÃO NO CONFLITO DE COMPETENCIA,4
PEDIDO DE RECONSIDERAÇÃO NO HABEAS CORPUS,121
PEDIDO DE RECONSIDERAÇÃO NO HABEAS DATA,1
PEDIDO DE RECONSIDERAÇÃO NO MANDADO DE SEGURANÇA,6
PEDIDO DE RECONSIDERAÇÃO NO PEDIDO DE EXTENSÃO NO RECURSO EM HABEAS CORPUS,1
PEDIDO DE RECONSIDERAÇÃO NO RECURSO EM HABEAS CORPUS,8
PEDIDO DE RECONSIDERAÇÃO NO RECURSO ESPECIAL,12
PEDIDO DE RECONSIDERAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO EM RECURSO ESPECIAL,3
PEDIDO DE RECONSIDERAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO AGRAVO EM RECURSO ESPECIAL,2
PEDIDO DE RECONSIDERAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO AGRAVO INTERNO NOS EMBARGOS DE DIVERGÊNCIA EM AGRAVO EM RECURSO ESPECIAL,1
PEDIDO DE RECONSIDERAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO RECURSO ESPECIAL,3
PEDIDO DE RECONSIDERAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NO AGRAVO EM RECURSO ESPECIAL,6
PEDIDO DE RECONSIDERAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NO HABEAS CORPUS,1
PEDIDO DE RECONSIDERAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NO RECURSO ESPECIAL,1
PEDIDO DE RECONSIDERAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NO AGRAVO EM RECURSO ESPECIAL,1
PEDIDO DE RECONSIDERAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO HABEAS CORPUS,1
PEDIDO DE RECONSIDERAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO RECURSO ESPECIAL,2
PEDIDO DE RECONSIDERAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO RECURSO ORDINÁRIO EM HABEAS CORPUS,1
PEDIDO DE RECONSIDERAÇÃO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO AGRAVO EM RECURSO ESPECIAL,1
PEDIDO DE RECONSIDERAÇÃO NOS EMBARGOS DE DECLARAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO RECURSO ESPECIAL,1
PEDIDO DE UNIFORMIZAÇÃO DE INTERPRETAÇÃO DE LEI,6
PETIÇÃO,10
PETIÇÃO COMUNICANDO REALIZAÇÃO DE ACORDO ENTRE AS PARTES NO AGRAVO EM RECURSO ESPECIAL,2
PETIÇÃO NA AÇÃO PENAL,1
PETIÇÃO NA PETIÇÃO,2
PETIÇÃO NA PROPOSTA DE AFETAÇÃO NO RECURSO ESPECIAL,2
PETIÇÃO NA SUSPENSÃO DE LIMINAR E DE SENTENÇA,1
PETIÇÃO NO AGRAVO EM RECURSO ESPECIAL,32
PETIÇÃO NO AGRAVO INTERNO NO AGRAVO EM RECURSO ESPECIAL,8
PETIÇÃO NO AGRAVO INTERNO NO AGRAVO INTERNO NO AGRAVO EM RECURSO ESPECIAL,1
PETIÇÃO NO AGRAVO INTERNO NO RECURSO ESPECIAL,2
PETIÇÃO NO AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO EM RECURSO ESPECIAL,1
PETIÇÃO NO AGRAVO REGIMENTAL NO AGRAVO EM RECURSO ESPECIAL,6
PETIÇÃO NO HABEAS CORPUS,16
PETIÇÃO NO PEDIDO DE EXTENSÃO NO HABEAS CORPUS,1
PETIÇÃO NO PEDIDO DE RECONSIDERAÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NO AGRAVO EM RECURSO ESPECIAL,1
PETIÇÃO NO RECURSO EM HABEAS CORPUS,6
PETIÇÃO NO RECURSO EM MANDADO DE SEGURANÇA,2
PETIÇÃO NO RECURSO ESPECIAL,23
PETIÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO AGRAVO EM RECURSO ESPECIAL,4
PETIÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO AGRAVO INTERNO NO AGRAVO EM RECURSO ESPECIAL,1
PETIÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO RECURSO EM MANDADO DE SEGURANÇA,1
PETIÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO EM RECURSO ESPECIAL,1
PETIÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NO AGRAVO EM RECURSO ESPECIAL,4
PETIÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NO RECURSO ESPECIAL,1
PETIÇÃO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NO AGRAVO EM RECURSO ESPECIAL,1
PETIÇÃO NOS EMBARGOS DE DECLARAÇÃO NO RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO PEDIDO DE UNIFORMIZAÇÃO DE INTERPRETAÇÃO DE LEI,1
PETIÇÃO NOS EMBARGOS DE DIVERGÊNCIA EM AGRAVO EM RECURSO ESPECIAL,1
PETIÇÃO NOS EMBARGOS DE DIVERGÊNCIA EM RECURSO ESPECIAL,2
PROPOSTA DE AFETAÇÃO NO RECURSO ESPECIAL,398
PROPOSTA DE AFETAÇÃO NOS EMBARGOS DE DIVERGÊNCIA EM RECURSO ESPECIAL,5
QUEIXA-CRIME,7
QUESTÃO DE ORDEM NA AÇÃO PENAL,8
QUESTÃO DE ORDEM NA AÇÃO RESCISORIA,1
QUESTÃO DE ORDEM NA CAUTELAR INOMINADA CRIMINAL,4
QUESTÃO DE ORDEM NA PETIÇÃO,3
QUESTÃO DE ORDEM NA PROPOSTA DE AFETAÇÃO NO RECURSO ESPECIAL RECURSO ESPECIAL,4
QUESTÃO DE ORDEM NO AGRAVO EM RECURSO ESPECIAL,1
QUESTÃO DE ORDEM NO AGRAVO INTERNO NA SUSPENSÃO DE LIMINAR E DE SENTENÇA SUSPENSÃO DE LIMINAR E DE SENTENÇA,1
QUESTÃO DE ORDEM NO AGRAVO INTERNO NO CONFLITO DE COMPETÊNCIA CONFLITO DE COMPETÊNCIA,1
QUESTÃO DE ORDEM NO AGRAVO REGIMENTAL NA PETIÇÃO,1
QUESTÃO DE ORDEM NO AGRAVO REGIMENTAL NA PETIÇÃO NA AÇÃO PENAL,1
QUESTÃO DE ORDEM NO INQUÉRITO,6
QUESTÃO DE ORDEM NO RECURSO ESPECIAL,9
QUESTÃO DE ORDEM NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO RECURSO EXTRAORDINÁRIO NO AGRAVO INTERNO NO AGRAVO EM RECURSO ESPECIAL,1
RECLAMAÇÃO,54
RECURSO ESPECIAL,2938
RECURSO EXTRAORDINÁRIO NA PETIÇÃO,1
RECURSO EXTRAORDINÁRIO NO AGRAVO INTERNO NO AGRAVO EM RECURSO ESPECIAL,1
RECURSO EXTRAORDINÁRIO NO AGRAVO INTERNO NO CONFLITO DE COMPETÊNCIA,2
RECURSO EXTRAORDINÁRIO NO AGRAVO INTERNO NO RECURSO ESPECIAL,1
RECURSO EXTRAORDINÁRIO NO AGRAVO REGIMENTAL NO HABEAS CORPUS,1
RECURSO EXTRAORDINÁRIO NO RECURSO ORDINÁRIO EM HABEAS CORPUS,1
RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO CONFLITO DE COMPETÊNCIA,7
RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NO RECURSO ESPECIAL,1
RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO INTERNO NOS RECURSO ESPECIAL,1
RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NO HABEAS CORPUS,1
RECURSO EXTRAORDINÁRIO NOS EMBARGOS DE DECLARAÇÃO NO AGRAVO REGIMENTAL NO RECURSO ESPECIAL,1
RECURSO ORDINARIO EM HABEAS CORPUS,453
RECURSO ORDINÁRIO,4
RECURSO ORDINÁRIO EM MANDADO DE SEGURANÇA,204
REVISÃO CRIMINAL,20
SENTENÇA ESTRANGEIRA CONTESTADA,1
SINDICÂNCIA,1
TUTELA CAUTELAR ANTECEDENTE,2
TUTELA PROVISÓRIA,1
TUTELA PROVISÓRIA INCIDENTAL NO HABEAS CORPUS,1
TUTELA PROVISÓRIA INCIDENTAL NO RECURSO ORDINÁRIO EM MS,1
